EHA_PtID,PtName,County,State,Lat,Lon,Pt_Own,OwType,Dam_Own,Type,EIA_PtID,FC_Dock,FcIssue,FcExpire,Mode,Pm_Type,Number_of_Units,CH_MW,CH_MWh,CH_Pf,CH_OpYear,PS_MW,PS_MWh,PS_Pf,PS_OpYear,Water,HUC,NID_ID,ReEDSPCA,NERC,BACode,Sector,Trans
hc0001_p01,Alcova,Natrona,WY,42.54841,-106.718,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),HY,6409,,,,Peaking,Reclamation,2,41.4,98687,27.21169,1955,,,,,North Platte River,1018000701,WY01290,24,WECC,WAUW,Electric Utility,WAPA-- Western Area Power Administration
hc0002_p01,Anderson Ranch,Elmore,ID,43.35707,-115.452,Reclamation Pacific Northwest Region (PN),Reclamation,Reclamation Pacific Northwest Region (PN),HY,6395,,,,Intermediate Peaking,Reclamation,2,40,124816.5,35.62116,1950,,,,,South Fork Boise River,1705011309,ID00279,15,WECC,BPAT,Electric Utility,Bonneville Power Administration
hc0003_p01,Black Canyon,Gem,ID,43.93046,-116.437,Reclamation Pacific Northwest Region (PN),Reclamation,Reclamation Pacific Northwest Region (PN),HY,6396,,,,Intermediate Peaking,Reclamation,2,10.2,62334.35,69.76268,1925,,,,,Payette River,1705012209,ID00282,15,WECC,BPAT,Electric Utility,Bonneville Power Administration
hc0004_p01,Blue Mesa,Gunnison,CO,38.45319,-107.337,Reclamation Upper Colorado Region (UC),Reclamation,Reclamation Upper Colorado Region (UC),HY,512,,,,Peaking,Reclamation,2,86.4,228798.1,30.22975,1967,,,,,Blue Mesa Reservoir-Gunnison R,1402000210,CO01675,34,WECC,WACM,Electric Utility,WAPA-- Western Area Power Administration
hc0005_p01,Boise R Diversion,Ada,ID,43.53769,-116.094,Reclamation Pacific Northwest Region (PN),Reclamation,Reclamation Pacific Northwest Region (PN),HY,6397,,,,Peaking,Reclamation,3,3.3,8387.24,29.01356,2004,,,,,Boise River,1705011404,ID00281,15,WECC,IPCO,Electric Utility,Idaho Power Co
hc0006_p01,Boysen,Fremont,WY,43.41787,-108.178,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),HY,505,,,,Intermediate Peaking,Reclamation,2,15,53227.12,40.5077,1952,,,,,Wind River,1008000505,WY01299,21,WECC,WAUW,Electric Utility,WAPA-- Western Area Power Administration
hc0007_p01,Buffalo Bill,Park,WY,44.50817,-109.171,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),HY,7317,,,,Intermediate Peaking,Reclamation,3,18,67413.76,42.75353,1992,,,,,Shoshone River,1008001401,WY01300,21,WECC,WAUW,Electric Utility,WAPA-- Western Area Power Administration
hc0007_p02,Shoshone,Park,WY,44.5029,-109.181,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),HY,4183,,,,Intermediate Peaking,Reclamation,1,3,19022.35,72.38337,1922,,,,,Shoshone River,1008001401,WY01300,21,WECC,WAUW,Electric Utility,WAPA-- Western Area Power Administration
hc0007_p03,Heart Mountain,Park,WY,44.51377,-109.13,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),HY,6408,,,,Intermediate Peaking,Reclamation,1,5,16478,37.621,1948,,,,,Shoshone River,1008001401,WY01300,21,WECC,WAUW,Electric Utility,WAPA-- Western Area Power Administration
hc0007_p04,Spirit Mountain,Park,WY,44.5127,-109.13,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),HY,7541,,,,Run-of-river,Reclamation,1,4.5,15851.35,40.21144,1994,,,,,Shoshone River,1008001401,WY01300,21,WECC,WAUW,Electric Utility,WAPA-- Western Area Power Administration
